Chr	Start	Stop	Class	Ratio
chr13	43443864	44302864	left	0
chr13	44988865	45321865	left	0
chr13	45321865	46087865	right	0
chr13	46087865	46518865	left	0
chr13	46518865	47522865	right	0
chr13	47522865	48209864	left	0
chr13	48888864	49468864	left	0
chr13	49468864	50789864	right	0
chr13	50789864	51546864	left	0
chr13	51546864	52663865	right	0
chr13	52663865	53014865	left	0
chr13	53014865	53660865	right	0
chr13	72074862	72908862	left	0
chr13	73500863	74831863	right	0
chr13	74831863	75564864	left	0
chr13	75564864	76328864	right	0
chr13	76544865	76980865	left	0
chr13	78799865	79475865	left	0
chr13	79761865	80160865	left	0
chr13	80160865	80950865	right	0
chr13	94713746	95387746	left	0
chr13	95387746	96214746	right	0
chr13	96355746	97063746	left	0
chr13	97063746	97782746	right	0
chr13	97782746	98686746	left	0
chr13	98686746	98924746	right	0
chr13	98924746	99267746	left	0
chr13	99267746	99888746	right	0
chr13	105335649	106226651	left	0
chr13	106226651	107023652	right	0
chr13	108074652	108501652	right	0
chr13	109280652	110682653	left	0
chr13	111849681	113126686	left	0
chr13	113126686	113499685	right	0
chr14	19696841	20450841	left	0
chr14	20450841	21887820	right	0
chr14	21887820	22672791	left	0
chr14	22672791	22832791	right	0
chr14	22832791	23156791	left	0
chr14	23156791	23670791	right	0
chr14	23670791	24261794	left	0
chr14	24261794	24934794	right	0
chr14	30177794	31186794	left	0
chr14	31186794	31653794	right	0
chr14	31653794	32000794	left	0
chr14	32000794	32739794	right	0
chr14	33298794	34075794	left	0
chr14	34075794	34231794	right	0
chr14	34231794	34559794	left	0
chr14	34559794	34904794	right	0
chr14	34904794	35338794	left	0
chr14	35338794	36356794	right	0
chr14	38433796	39180796	left	0
chr14	39180796	39981796	right	0
chr14	44525797	44977797	left	0
chr14	48984797	49768282	left	0
chr14	49768282	50016282	right	0
chr14	50016282	50391282	left	0
chr14	50697282	51777282	right	0
chr14	51777282	52677282	left	0
chr14	52677282	53204282	right	0
chr14	53204282	54072282	left	0
chr14	54918282	56952282	right	0
chr14	56952282	58212282	left	0
chr14	58212282	58854282	right	0
chr14	60213282	60690282	left	0
chr14	60793282	60937282	right	0
chr14	60937282	61598282	left	0
chr14	61598282	62409282	right	0
chr14	62933282	63757282	left	0
chr14	63757282	64060282	right	0
chr14	65021282	66187282	right	0
chr14	66451282	66671282	right	0
chr14	66671282	67564283	left	0
chr14	67564283	68122283	right	0
chr14	68122283	68731283	left	0
chr14	68731283	69435283	right	0
chr14	69435283	69582283	left	0
chr14	69582283	70126283	right	0
chr14	70126283	70720283	left	0
chr14	71266283	72262292	right	0
chr14	72405292	73267292	left	0
chr14	73540296	73904297	right	0
chr14	73904297	74055297	left	0
chr14	74055297	74414297	right	0
chr14	74414297	75444297	left	0
chr14	75444297	76422657	right	0
chr14	76422657	77016657	left	0
chr14	77016657	77343657	right	0
chr14	77343657	77648657	left	0
chr14	77648657	78436657	right	0
chr14	87158656	88048656	left	0
chr14	88048656	88612656	right	0
chr14	89332656	89658656	left	0
chr14	89658656	89922656	right	0
chr14	89922656	90463656	left	0
chr14	90463656	90939656	right	0
chr14	90939656	91303656	left	0
chr14	91303656	92141656	right	0
chr14	92141656	93036655	left	0
chr14	93036655	93581654	right	0
chr14	93581654	94035654	left	0
chr14	94035654	94894663	right	0
chr14	94894663	95421663	left	0
chr14	95421663	95851663	right	0
chr14	95851663	96201663	left	0
chr14	96201663	97237663	right	0
chr14	98477663	99619663	left	0
chr14	99619663	99919663	right	0
chr14	99919663	100204663	left	0
chr14	100204663	101177663	right	0
chr14	101177663	102164663	left	0
chr14	102164663	102539663	right	0
chr14	102539663	102922663	left	0
chr14	102922663	103321663	right	0
chr14	103321663	103618663	left	0
chr14	104049663	104407663	right	0
chr14	104407663	105182663	left	0
chr14	105182663	106071001	right	0
chr15	28982797	29791797	left	0
chr15	29791797	30294797	right	0
chr15	30294797	31394797	left	0
chr15	31394797	32191799	right	0
chr15	32191799	32683799	left	0
chr15	32683799	32852799	right	0
chr15	33031799	33539799	right	0
chr15	33539799	34290799	left	0
chr15	34290799	34823799	right	0
chr15	36901799	37534799	right	0
chr15	37534799	38098799	left	0
chr15	38098799	38594799	right	0
chr15	38594799	40315799	left	0
chr15	40315799	40843802	right	0
chr15	42103802	42595802	right	0
chr15	42595802	43652802	left	0
chr15	43652802	43953802	right	0
chr15	43953802	44246802	left	0
chr15	44246802	44444802	right	0
chr15	44775802	45101802	left	0
chr15	45101802	45372802	right	0
chr15	45372802	45511802	left	0
chr15	45511802	46491802	right	0
chr15	48457803	50739803	left	0
chr15	50739803	51208803	right	0
chr15	51208803	51984803	left	0
chr15	51984803	53026803	right	0
chr15	54820802	56070802	left	0
chr15	56070802	56359802	right	0
chr15	56359802	56789802	left	0
chr15	57013802	57629802	left	0
chr15	57629802	58050802	right	0
chr15	58050802	58513801	left	0
chr15	58513801	58838801	right	0
chr15	58838801	59288801	left	0
chr15	59288801	59974801	right	0
chr15	59974801	60380801	left	0
chr15	60380801	61263801	right	0
chr15	61491801	62154801	left	0
chr15	62154801	62433801	right	0
chr15	62433801	63447801	left	0
chr15	63447801	63729801	right	0
chr15	63729801	64014801	left	0
chr15	64014801	64629801	right	0
chr15	64629801	65236662	left	0
chr15	65236662	65635662	right	0
chr15	65635662	65915662	left	0
chr15	65915662	66212662	right	0
chr15	66212662	66719662	left	0
chr15	66719662	66967662	right	0
chr15	67191662	67544662	right	0
chr15	67544662	67855662	left	0
chr15	67855662	68662661	right	0
chr15	68662661	69519661	left	0
chr15	69519661	69947661	right	0
chr15	70145661	70643661	left	0
chr15	70643661	71373661	right	0
chr15	71373661	72259659	left	0
chr15	72259659	73130659	right	0
chr15	73130659	74078659	left	0
chr15	74078659	75067659	right	0
chr15	75067659	75607659	left	0
chr15	75607659	76691659	right	0
chr15	76691659	77040659	left	0
chr15	77040659	77318658	right	0
chr15	77318658	77520658	left	0
chr15	77520658	77658658	right	0
chr15	77658658	78065658	left	0
chr15	78065658	78698658	right	0
chr15	78698658	78939658	left	0
chr15	78939658	79591658	right	0
chr15	79591658	80807659	left	0
chr15	80909659	81725659	right	0
chr15	82522012	83625248	right	0
chr15	85121769	85538769	right	0
chr15	88086769	88986769	left	0
chr15	88986769	90252768	right	0
chr15	90252768	90585768	left	0
chr15	90857770	92060770	right	0
chr15	92060770	92868770	left	0
chr15	92868770	93636771	right	0
chr15	98784771	99451795	left	0
chr15	99451795	100106795	right	0
chr15	100106795	100717795	left	0
chr15	100717795	100986795	right	0
chr15	100986795	101209795	left	0
chr16	751000	896000	right	0
chr16	896000	1269999	left	0
chr16	1269999	1668999	right	0
chr16	1668999	1813999	left	0
chr16	1813999	1991999	right	0
chr16	2190999	2566999	left	0
chr16	2566999	3439000	right	0
chr16	3439000	3663999	left	0
chr16	4222999	4552999	left	0
chr16	4846999	5879999	right	0
chr16	8962143	9593143	right	0
chr16	9593143	10760143	left	0
chr16	10760143	10942143	right	0
chr16	10942143	11336143	left	0
chr16	11336143	12364143	right	0
chr16	12364143	12607143	left	0
chr16	12607143	13327143	right	0
chr16	13471143	14059143	left	0
chr16	15248143	15649143	left	0
chr16	15649143	16078143	right	0
chr16	18045143	19075678	left	0
chr16	19075678	20375678	right	0
chr16	20375678	21605679	left	0
chr16	21605679	21859679	right	0
chr16	21859679	22259679	left	0
chr16	22259679	22998679	right	0
chr16	22998679	23690679	left	0
chr16	23690679	24278679	right	0
chr16	24278679	24914679	left	0
chr16	24914679	25583679	right	0
chr16	26412679	27324679	left	0
chr16	27324679	27686679	right	0
chr16	27686679	28762679	left	0
chr16	28762679	29126679	right	0
chr16	29920679	30345679	left	0
chr16	30931679	32105679	right	0
chr16	46873088	47570089	right	0
chr16	47814089	48441089	left	0
chr16	48441089	49427089	right	0
chr16	49779089	50210089	left	0
chr16	50210089	50678089	right	0
chr16	51765089	52550088	left	0
chr16	52550088	52946088	right	0
chr16	55915088	57135088	left	0
chr16	57609088	58376096	right	0
chr16	58376096	58587096	left	0
chr16	58587096	59073096	right	0
chr16	65802097	66596097	left	0
chr16	66596097	66923097	right	0
chr16	66923097	67246097	left	0
chr16	67246097	68140097	right	0
chr16	68140097	68328097	left	0
chr16	68328097	69450097	right	0
chr16	69450097	69832097	left	0
chr16	69832097	70215097	right	0
chr16	70215097	70583097	left	0
chr16	70583097	71038097	right	0
chr16	71038097	71391097	left	0
chr16	71627097	71805097	left	0
chr16	71805097	72643101	right	0
chr16	72643101	73071101	left	0
chr16	73071101	73531101	right	0
chr16	73717101	74771102	left	0
chr16	74771102	74995102	right	0
chr16	74995102	75221102	left	0
chr16	75221102	76301103	right	0
chr16	79991103	81527395	left	0
chr16	81527395	82781395	right	0
chr16	83373395	84520394	left	0
chr16	85063394	85367394	right	0
chr16	85367394	85646394	left	0
chr16	85646394	86306394	right	0
chr16	86306394	86600394	left	0
chr16	86600394	87003394	right	0
chr16	87003394	87821394	left	0
chr16	88373592	88833592	left	0
chr16	88833592	89052592	right	0
chr16	89257592	89497592	right	0
chr17	493387	677760	right	0
chr17	677760	1106760	left	0
chr17	1106760	1687706	right	0
chr17	1687706	1983706	left	0
chr17	1983706	2310706	right	0
chr17	2310706	2725706	left	0
chr17	2725706	3258706	right	0
chr17	3258706	3820706	left	0
chr17	3820706	4311705	right	0
chr17	4311705	5014705	left	0
chr17	5014705	5614680	right	0
chr17	5614680	5885680	left	0
chr17	5885680	6143680	right	0
chr17	6143680	7290681	left	0
chr17	7290681	7586682	right	0
chr17	7586682	7867682	left	0
chr17	7867682	8077682	right	0
chr17	8256682	10462683	right	0
chr17	10462683	10765683	left	0
chr17	10765683	11281683	right	0
chr17	14627683	15447686	left	0
chr17	15447686	15781686	right	0
chr17	16199686	16774686	left	0
chr17	16774686	17079686	right	0
chr17	17079686	17705686	left	0
chr17	17705686	18016686	right	0
chr17	18016686	18163686	left	0
chr17	18163686	18485686	right	0
chr17	18485686	19213687	left	0
chr17	19213687	19556687	right	0
chr17	20428687	20754687	right	0
chr17	20754687	21162687	left	0
chr17	27364974	27754974	right	0
chr17	27754974	28442982	left	0
chr17	28657982	29020982	left	0
chr17	29020982	29875982	right	0
chr17	29875982	30210982	left	0
chr17	30210982	30462982	right	0
chr17	30462982	30682982	left	0
chr17	30682982	31259982	right	0
chr17	31259982	31508982	left	0
chr17	31508982	31727981	right	0
chr17	31727981	32034981	left	0
chr17	32034981	32753982	right	0
chr17	32753982	32971982	left	0
chr17	32971982	33593981	right	0
chr17	34389981	35665981	left	0
chr17	36396433	36986701	left	0
chr17	36986701	37142076	right	0
chr17	37399910	37720005	left	0
chr17	37720005	37989439	right	0
chr17	37989439	38536765	left	0
chr17	39870747	40152747	right	0
chr17	40152747	40395748	left	0
chr17	40623748	41082748	right	0
chr17	41082748	41403748	left	0
chr17	41403748	41556748	right	0
chr17	41556748	42014982	left	0
chr17	42014982	42596982	right	0
chr17	42596982	42850983	left	0
chr17	42850983	43376632	right	0
chr17	43376632	44184632	left	0
chr17	44184632	44531632	right	0
chr17	44531632	45046632	left	0
chr17	45046632	45844634	right	0
chr17	45844634	46243634	left	0
chr17	46243634	47058634	right	0
chr17	47058634	47392634	left	0
chr17	47392634	47518634	right	0
chr17	47518634	47686634	left	0
chr17	48090638	48437638	right	0
chr17	48437638	48829638	left	0
chr17	48829638	49210638	right	0
chr17	49210638	49959636	left	0
chr17	50520639	50973639	right	0
chr17	50973639	51239639	left	0
chr17	51239639	51973640	right	0
chr17	54858639	55403639	left	0
chr17	55403639	56068639	right	0
chr17	56223639	57113639	left	0
chr17	57113639	57459639	right	0
chr17	57459639	57798639	left	0
chr17	57798639	58029639	right	0
chr17	58029639	58247639	left	0
chr17	58247639	58941639	right	0
chr17	58941639	60145639	left	0
chr17	60145639	61091639	right	0
chr17	61091639	62042639	left	0
chr17	62042639	62435639	right	0
chr17	62435639	62778639	left	0
chr17	62778639	63123639	right	0
chr17	63123639	63538639	left	0
chr17	63538639	63685640	right	0
chr17	63685640	63941640	left	0
chr17	63941640	64296640	right	0
chr17	65132882	65908882	right	0
chr17	65908882	66326882	left	0
chr17	66326882	66706882	right	0
chr17	66706882	67871884	left	0
chr17	67871884	68984859	right	0
chr17	68984859	69356859	left	0
chr17	69356859	69908859	right	0
chr17	70423859	71324859	left	0
chr17	71324859	71640859	right	0
chr17	71640859	72171859	left	0
chr17	72171859	72517860	right	0
chr17	72517860	72782861	left	0
chr17	72782861	73031861	right	0
chr17	73031861	73332861	left	0
chr17	73332861	73858861	right	0
chr17	73993861	74391861	left	0
chr17	74391861	74641861	right	0
chr17	74641861	74835861	left	0
chr17	74835861	75162905	right	0
chr17	75162905	75464919	left	0
chr17	75464919	75768919	right	0
chr17	75768919	76179919	left	0
chr17	76179919	76621918	right	0
chr17	76621918	77371918	left	0
chr17	77371918	77680918	right	0
chr17	77680918	78278919	left	0
chr17	78278919	78601918	right	0
chr17	78601918	78745918	left	0
chr17	78745918	78872918	right	0
chr17	78872918	79061918	left	0
chr17	79061918	79396918	right	0
chr17	80052201	80617200	right	0
chr17	80617200	81075200	left	0
chr17	81075200	81700970	right	0
chr18	263000	806999	left	0
chr18	806999	1535999	right	0
chr18	1918999	3060002	left	0
chr18	3060002	3378002	right	0
chr18	3378002	3710000	left	0
chr18	3710000	4523000	right	0
chr18	8221002	9059002	left	0
chr18	9248002	9719003	left	0
chr18	9719003	11163001	right	0
chr18	11370001	12441001	left	0
chr18	12721001	13549001	right	0
chr18	22237037	22373037	left	0
chr18	22373037	22671037	right	0
chr18	22671037	23129036	left	0
chr18	23500036	23724036	right	0
chr18	30480034	31544037	left	0
chr18	31544037	31768037	right	0
chr18	31768037	32007037	left	0
chr18	32007037	32370037	right	0
chr18	34576036	34951036	left	0
chr18	34951036	35195036	right	0
chr18	35195036	35509036	left	0
chr18	35509036	35848036	right	0
chr18	44850035	45894035	left	0
chr18	45894035	46044034	right	0
chr18	47374629	48832629	left	0
chr18	48832629	49207630	right	0
chr18	49207630	49582630	left	0
chr18	49582630	50031630	right	0
chr18	50031630	50142630	left	0
chr18	50142630	50567630	right	0
chr18	50567630	50881630	left	0
chr18	50881630	51790630	right	0
chr18	54798769	55723769	right	0
chr18	55936769	57589768	left	0
chr18	57589768	57713768	right	0
chr18	57713768	58045768	left	0
chr18	58045768	59536768	right	0
chr18	59536768	59904768	left	0
chr18	61457767	62448767	left	0
chr18	62448767	63103767	right	0
chr18	63103767	63416767	left	0
chr18	63416767	63781766	right	0
chr18	69355764	70390764	left	0
chr18	70390764	71326764	right	0
chr18	73548765	74244765	left	0
chr18	74244765	74362765	right	0
chr18	74362765	74493765	left	0
chr18	76140045	76549043	left	0
chr18	77086044	77582044	right	0
chr19	410000	490000	right	0
chr19	490000	595000	left	0
chr19	595000	821000	right	0
chr19	821000	940000	left	0
chr19	940000	1180001	right	0
chr19	1180001	1465001	left	0
chr19	1465001	1693001	right	0
chr19	1693001	1919001	left	0
chr19	1919001	2527002	right	0
chr19	2527002	2787002	left	0
chr19	2787002	3318002	right	0
chr19	3318002	3563002	left	0
chr19	3563002	3867002	right	0
chr19	3867002	3974002	left	0
chr19	3974002	4194003	right	0
chr19	4194003	4500988	left	0
chr19	4500988	4744988	right	0
chr19	4744988	4938988	left	0
chr19	4938988	5378989	right	0
chr19	5378989	5874989	left	0
chr19	5874989	6176989	right	0
chr19	6176989	6466989	left	0
chr19	6466989	7120989	right	0
chr19	7538114	7642114	right	0
chr19	7642114	7884115	left	0
chr19	7884115	8202116	right	0
chr19	8202116	8407116	left	0
chr19	8919324	9129324	left	0
chr19	9129324	9356324	right	0
chr19	9356324	10419324	left	0
chr19	10419324	10666324	right	0
chr19	10666324	11402324	left	0
chr19	11402324	12071185	right	0
chr19	12071185	12759186	left	0
chr19	12904186	13143186	left	0
chr19	13143186	13484186	right	0
chr19	13484186	14125188	left	0
chr19	14125188	14360188	right	0
chr19	14360188	14451188	left	0
chr19	14451188	14901188	right	0
chr19	14901188	15217189	left	0
chr19	15217189	15652190	right	0
chr19	15652190	16090190	left	0
chr19	16090190	16258189	right	0
chr19	16258189	16557189	left	0
chr19	16557189	16861189	right	0
chr19	16861189	17303191	left	0
chr19	17303191	17608191	right	0
chr19	17608191	17847191	left	0
chr19	17847191	18430190	right	0
chr19	18430190	18813191	left	0
chr19	18813191	19378191	right	0
chr19	19378191	19561191	left	0
chr19	31998094	33245094	left	0
chr19	33245094	33745095	right	0
chr19	33745095	34414095	left	0
chr19	34414095	34752095	right	0
chr19	34752095	35148097	left	0
chr19	35148097	35486098	right	0
chr19	35486098	35746099	left	0
chr19	35746099	36947098	right	0
chr19	37309098	38359360	left	0
chr19	38359360	38825360	right	0
chr19	38825360	39099360	left	0
chr19	39099360	39237360	right	0
chr19	39237360	39433360	left	0
chr19	39433360	39822360	right	0
chr19	39927093	40581094	left	0
chr19	40581094	40936095	right	0
chr19	40936095	41052095	left	0
chr19	41052095	41254095	right	0
chr19	41254095	41381095	left	0
chr19	41381095	41585647	right	0
chr19	41585647	41817959	left	0
chr19	41817959	41915848	right	0
chr19	41915848	42320848	left	0
chr19	42320848	42965848	right	0
chr19	42965848	43567848	left	0
chr19	43567848	44109847	right	0
chr19	44109847	44231847	left	0
chr19	44231847	44416833	right	0
chr19	44416833	44652730	left	0
chr19	44652730	44730750	right	0
chr19	44730750	45268742	left	0
chr19	45268742	45625742	right	0
chr19	45625742	45900742	left	0
chr19	45900742	46179743	right	0
chr19	46179743	46695743	left	0
chr19	46695743	47240743	right	0
chr19	47240743	47682743	left	0
chr19	47682743	47994743	right	0
chr19	47994743	48273743	left	0
chr19	48273743	48767743	right	0
chr19	48767743	49082743	left	0
chr19	49082743	49290743	right	0
chr19	49290743	49942743	left	0
chr19	49942743	50169743	right	0
chr19	50169743	50383743	left	0
chr19	50383743	50566743	right	0
chr19	50566743	50776743	left	0
chr19	50776743	50984744	right	0
chr19	50984744	51139743	left	0
chr19	51139743	51906747	right	0
chr19	52807747	54135282	left	0
chr19	54135282	54676514	right	0
chr19	54676514	55236632	left	0
chr19	55420633	55994634	right	0
chr19	55994634	56086634	left	0
chr19	56086634	56578632	right	0
chr20	107359	492356	left	0
chr20	492356	1088357	right	0
chr20	1088357	1373356	left	0
chr20	1373356	2007354	right	0
chr20	2007354	2632354	left	0
chr20	2632354	2820354	right	0
chr20	2820354	3147354	left	0
chr20	3147354	3440353	right	0
chr20	3440353	3769353	left	0
chr20	3769353	3938353	right	0
chr20	3938353	4139353	left	0
chr20	4139353	4801354	right	0
chr20	4801354	5071354	left	0
chr20	5071354	5295354	right	0
chr20	5295354	5667354	left	0
chr20	5667354	6425353	right	0
chr20	6425353	6695353	left	0
chr20	6695353	7435353	right	0
chr20	9341353	9615353	left	0
chr20	10073352	10739352	left	0
chr20	10739352	11026352	right	0
chr20	12476352	12994352	left	0
chr20	12994352	13458353	right	0
chr20	16886355	17878356	left	0
chr20	17878356	19033356	right	0
chr20	19033356	19766356	left	0
chr20	19766356	20562356	right	0
chr20	20562356	20731357	left	0
chr20	20731357	21052359	right	0
chr20	21719362	22455362	left	0
chr20	22455362	23011363	right	0
chr20	23011363	23129363	left	0
chr20	23945363	25436364	left	0
chr20	25436364	25880364	right	0
chr20	31828197	32063197	right	0
chr20	32063197	32398197	left	0
chr20	32398197	33026194	right	0
chr20	33026194	33423194	left	0
chr20	33423194	33685194	right	0
chr20	33685194	33978194	left	0
chr20	33978194	34303194	right	0
chr20	34303194	34676196	left	0
chr20	34676196	35118197	right	0
chr20	35118197	35356197	left	0
chr20	35356197	35652078	right	0
chr20	35652078	35854078	left	0
chr20	36615597	37089597	right	0
chr20	37089597	37337597	left	0
chr20	37337597	37769598	right	0
chr20	37769598	38233598	left	0
chr20	38233598	39340357	right	0
chr20	40184359	41031360	left	0
chr20	41031360	42105360	right	0
chr20	42886360	43644360	left	0
chr20	43644360	43920360	right	0
chr20	43920360	44185360	left	0
chr20	44185360	44306360	right	0
chr20	44306360	44659359	left	0
chr20	44659359	45120359	right	0
chr20	45120359	45394360	left	0
chr20	45394360	45637361	right	0
chr20	45637361	45896361	left	0
chr20	45896361	46462361	right	0
chr20	46462361	46747361	left	0
chr20	46747361	46848361	right	0
chr20	46848361	47423256	left	0
chr20	47423256	48346257	right	0
chr20	48346257	49224463	left	0
chr20	49224463	49461463	right	0
chr20	49770463	50037463	left	0
chr20	50037463	50708463	right	0
chr20	50708463	50907463	left	0
chr20	50907463	51197463	right	0
chr20	51197463	51532461	left	0
chr20	51532461	51792461	right	0
chr20	53008461	53655461	left	0
chr20	53655461	54598461	right	0
chr20	56759944	57300944	left	0
chr20	57300944	57792944	right	0
chr20	57792944	58085944	left	0
chr20	58085944	58677944	right	0
chr20	58677944	59009945	left	0
chr20	59009945	59556945	right	0
chr20	59556945	59845945	left	0
chr20	59845945	60337942	right	0
chr20	61440944	62179944	left	0
chr20	62179944	62277944	right	0
chr20	62837648	62945648	left	0
chr20	62945648	63156648	right	0
chr20	63156648	63670647	left	0
chr20	63670647	63888647	right	0
chr21	14659679	15036679	left	0
chr21	15036679	15442681	right	0
chr21	15442681	15715681	left	0
chr21	15715681	15893680	right	0
chr21	16609681	17531682	left	0
chr21	17531682	18476682	right	0
chr21	28344680	29249679	left	0
chr21	29249679	30117682	right	0
chr21	30723682	31628687	left	0
chr21	31628687	31995687	right	0
chr21	31995687	32427692	left	0
chr21	32427692	32769689	right	0
chr21	32769689	33308695	left	0
chr21	33308695	33371694	right	0
chr21	33371694	33507693	left	0
chr21	33507693	33777696	right	0
chr21	33777696	33890696	left	0
chr21	33890696	34070700	right	0
chr21	34070700	34131700	left	0
chr21	34131700	34271700	right	0
chr21	34271700	34578702	left	0
chr21	34578702	34685701	right	0
chr21	34685701	34833703	left	0
chr21	34833703	35026703	right	0
chr21	35026703	35158703	left	0
chr21	35158703	35522702	right	0
chr21	35522702	36056702	left	0
chr21	36056702	36124702	right	0
chr21	36124702	36273702	left	0
chr21	36273702	36787699	right	0
chr21	36787699	37016700	left	0
chr21	37016700	37154699	right	0
chr21	37154699	37223699	left	0
chr21	37223699	37448698	right	0
chr21	37448698	37496698	left	0
chr21	37549698	37982698	right	0
chr21	38156906	38791076	left	0
chr21	38791076	39207074	right	0
chr21	39207074	39350074	left	0
chr21	39350074	39497074	right	0
chr21	39497074	39621073	left	0
chr21	39621073	40329073	right	0
chr21	40500073	41397073	left	0
chr21	41397073	41555073	right	0
chr21	41595840	41780840	right	0
chr21	41780840	42083890	left	0
chr21	42083890	42215890	right	0
chr21	42215890	42347891	left	0
chr21	42347891	42411891	right	0
chr21	42411891	42546890	left	0
chr21	42546890	42687890	right	0
chr21	42687890	42760890	left	0
chr21	42827890	42885890	right	0
chr21	42885890	43092890	left	0
chr21	43092890	43212462	right	0
chr21	43449120	43723119	right	0
chr21	43723119	43930119	left	0
chr21	43930119	44212117	right	0
chr21	44212117	44415117	left	0
chr21	44415117	44598100	right	0
chr21	44598100	44730085	left	0
chr21	44730085	44845085	right	0
chr21	44845085	45021085	left	0
chr21	45021085	45179085	right	0
chr21	45179085	45321085	left	0
chr21	45321085	45474086	right	0
chr21	45822086	46149086	left	0
chr22	16930110	17821234	left	0
chr22	17821234	17966234	right	0
chr22	17966234	18022234	left	0
chr22	18022234	18768487	right	0
chr22	18768487	19113487	left	0
chr22	19113487	19389477	right	0
chr22	19389477	19784477	left	0
chr22	19784477	20097477	right	0
chr22	20097477	20239477	left	0
chr22	20366710	20507713	right	0
chr22	20507713	20556713	left	0
chr22	20556713	20697712	right	0
chr22	20697712	21011711	left	0
chr22	21011711	21230711	right	0
chr22	21230711	21444711	left	0
chr22	21444711	21530711	right	0
chr22	21530711	21649711	left	0
chr22	21649711	22356652	right	0
chr22	22356652	22704515	left	0
chr22	22704515	22885820	right	0
chr22	22885820	23126813	left	0
chr22	23126813	23238813	right	0
chr22	23238813	23376813	left	0
chr22	23376813	23478813	right	0
chr22	23478813	23774813	left	0
chr22	24004554	24184032	left	0
chr22	24184032	24332032	right	0
chr22	24332032	24471032	left	0
chr22	24471032	24818033	right	0
chr22	24818033	24940033	left	0
chr22	24940033	25277033	right	0
chr22	25277033	25391033	left	0
chr22	25391033	26106034	right	0
chr22	26106034	26583036	left	0
chr22	26583036	26790037	right	0
chr22	26790037	27116038	left	0
chr22	27116038	27443039	right	0
chr22	27443039	27680003	left	0
chr22	28050012	28193012	right	0
chr22	28193012	28816012	left	0
chr22	28816012	28866012	right	0
chr22	28866012	29004012	left	0
chr22	29004012	29147012	right	0
chr22	29147012	29286011	left	0
chr22	29286011	29461011	right	0
chr22	29461011	29631011	left	0
chr22	29631011	29688011	right	0
chr22	29688011	29743011	left	0
chr22	29743011	29894011	right	0
chr22	29894011	29964011	left	0
chr22	29964011	30225011	right	0
chr22	30225011	30570013	left	0
chr22	30570013	30709013	right	0
chr22	30709013	30768013	left	0
chr22	30768013	30940013	right	0
chr22	30940013	31105014	left	0
chr22	31105014	31234014	right	0
chr22	31234014	31314014	left	0
chr22	31314014	31508014	right	0
chr22	31508014	31723014	left	0
chr22	31723014	31857014	right	0
chr22	31857014	31926014	left	0
chr22	31926014	32067013	right	0
chr22	32067013	32124013	left	0
chr22	32124013	32627014	right	0
chr22	34606008	35318007	left	0
chr22	35318007	35499953	right	0
chr22	35499953	35645953	left	0
chr22	35645953	35909952	right	0
chr22	35909952	36058952	left	0
chr22	36058952	36125952	right	0
chr22	36125952	36256954	left	0
chr22	36256954	36411955	right	0
chr22	36411955	36687955	left	0
chr22	36687955	36864958	right	0
chr22	36864958	37061960	left	0
chr22	37061960	37243960	right	0
chr22	37243960	37360960	left	0
chr22	37360960	37550993	right	0
chr22	37550993	37686993	left	0
chr22	37686993	37816993	right	0
chr22	37816993	38038993	left	0
chr22	38038993	38179993	right	0
chr22	38179993	38384995	left	0
chr22	38384995	38617995	right	0
chr22	38617995	38766995	left	0
chr22	38766995	38905995	right	0
chr22	38905995	39039995	left	0
chr22	39039995	39176995	right	0
chr22	39176995	39441995	left	0
chr22	39441995	39512995	right	0
chr22	39512995	39642995	left	0
chr22	39642995	39858995	right	0
chr22	39858995	39992996	left	0
chr22	39992996	40156996	right	0
chr22	40156996	40464996	left	0
chr22	40464996	40520996	right	0
chr22	40520996	40663996	left	0
chr22	40663996	40801996	right	0
chr22	40801996	40925996	left	0
chr22	40925996	41243996	right	0
chr22	41243996	41394996	left	0
chr22	41394996	41476996	right	0
chr22	41476996	41601996	left	0
chr22	41601996	41703996	right	0
chr22	41703996	41867996	left	0
chr22	41867996	42020996	right	0
chr22	42020996	42097996	left	0
chr22	42097996	42213994	right	0
chr22	42213994	42361994	left	0
chr22	42361994	42544994	right	0
chr22	42544994	42642994	left	0
chr22	42642994	43015994	right	0
chr22	43015994	43264994	left	0
chr22	43264994	43681120	right	0
chr22	43681120	43935120	left	0
chr22	43935120	44167120	right	0
chr22	44167120	44788120	left	0
chr22	44788120	44986120	right	0
chr22	44986120	45266119	left	0
chr22	45266119	45408119	right	0
chr22	45408119	45473119	left	0
chr22	45473119	45589120	right	0
chr22	45589120	45677120	left	0
chr22	45677120	45811120	right	0
chr22	45811120	45949120	left	0
chr22	45949120	46013120	right	0
chr22	46013120	46133120	left	0
chr22	46133120	46286103	right	0
chr22	46286103	46380103	left	0
chr22	46380103	46491103	right	0
chr22	46491103	46622103	left	0
chr22	46622103	46773103	right	0
chr22	46773103	46820103	left	0
chr22	46820103	46967104	right	0
chr22	46967104	47025104	left	0
chr22	47025104	47658251	right	0
chr22	49114276	49759352	left	0
chr22	49759352	49880352	right	0
chr22	49880352	49944352	left	0
chr22	50046571	50195571	left	0
chr22	50195571	50396571	right	0
chrX	2710959	3547959	right	0
chrX	16111877	16725877	left	0
chrX	16725877	17417877	right	0
chrX	24010883	24745883	right	0
